requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200404,A13203401,0,0,0,0,0,0,0,0,0,0
200405,A13203401,0,0,0,0,0,0,0,0,0,0
200406,A13203401,0,0,0,0,0,0,0,0,0,0
200407,A13203401,0,0,0,0,0,0,0,0,0,0
200408,A13203401,0,0,0,0,0,0,0,0,0,0
200409,A13203401,0,0,0,0,0,0,0,0,0,0
200410,A13203401,0,0,0,0,0,0,0,0,0,0
200411,A13203401,0,0,0,0,0,0,0,0,0,0
200412,A13203401,0,0,0,0,0,0,0,0,0,0
200501,A13203401,0,0,0,0,0,0,0,0,0,0
200502,A13203401,0,0,0,0,0,0,0,0,0,0
200503,A13203401,0,0,0,0,0,0,0,0,0,0
200504,A13203401,0,0,0,0,0,0,0,0,0,0
200505,A13203401,0,0,0,0,0,0,0,0,0,0
200506,A13203401,0,0,0,0,0,0,0,0,0,0
200507,A13203401,0,0,0,0,0,0,0,0,0,0
200508,A13203401,0,0,0,0,0,0,0,0,0,0
200509,A13203401,0,0,0,0,0,0,0,0,0,0
200510,A13203401,0,0,0,0,0,0,0,0,0,0
200511,A13203401,0,0,0,0,0,0,0,0,0,0
200512,A13203401,0,0,0,0,0,0,0,0,0,0
200601,A13203401,0,0,0,0,0,0,0,0,0,0
200602,A13203401,0,0,0,0,0,0,0,0,0,0
200603,A13203401,0,0,0,0,0,0,0,0,0,0
200604,A13203401,0,0,0,0,0,0,0,0,0,0
200605,A13203401,0,0,0,0,0,0,0,0,0,0
200606,A13203401,0,0,0,0,0,0,0,0,0,0
200607,A13203401,0,0,0,0,0,0,0,0,0,0
200608,A13203401,0,0,0,0,0,0,0,0,0,0
200609,A13203401,0,0,0,0,0,0,0,0,0,0
200610,A13203401,0,0,0,0,0,0,0,0,0,0
200611,A13203401,0,0,0,0,0,0,0,0,0,0
200612,A13203401,0,0,0,0,0,0,0,0,0,0
200701,A13203401,0,0,0,0,0,0,0,0,0,0
200702,A13203401,0,0,0,0,0,0,0,0,0,0
200703,A13203401,0,0,0,0,0,0,0,0,0,0
200704,A13203401,0,0,0,0,0,0,0,0,0,0
200705,A13203401,0,0,0,0,0,0,0,0,0,0
200706,A13203401,0,0,0,0,0,0,0,0,0,0
200707,A13203401,0,0,0,0,0,0,0,0,0,0
200708,A13203401,0,0,0,0,0,0,0,0,0,0
200709,A13203401,0,0,0,0,0,0,0,0,0,0
200710,A13203401,0,0,0,0,0,0,0,0,0,0
200711,A13203401,0,0,0,0,0,0,0,0,0,0
200712,A13203401,0,0,0,0,0,0,0,0,0,0
200801,A13203401,0,0,0,0,0,0,0,0,0,0
