requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200309,A13922001,0,0,0,0,0,0,0,0,0,0
200310,A13922001,0,0,0,0,0,0,0,0,0,0
200311,A13922001,0,0,0,0,0,0,0,0,0,0
200312,A13922001,0,0,0,0,0,0,0,0,0,0
200401,A13922001,0,0,0,0,0,0,0,0,0,0
200402,A13922001,0,0,0,0,0,0,0,0,0,0
200403,A13922001,0,0,0,0,0,0,0,0,0,0
200404,A13922001,0,0,0,0,0,0,0,0,0,0
200405,A13922001,0,0,0,0,0,0,0,0,0,0
200406,A13922001,0,0,0,0,0,0,0,0,0,0
200407,A13922001,0,0,0,0,0,0,0,0,0,0
200408,A13922001,0,0,0,0,0,0,0,0,0,0
200409,A13922001,0,0,0,0,0,0,0,0,0,0
200410,A13922001,0,0,0,0,0,0,0,0,0,0
200411,A13922001,0,0,0,0,0,0,0,0,0,0
200412,A13922001,0,0,0,0,0,0,0,0,0,0
200501,A13922001,0,0,0,0,0,0,0,0,0,0
200502,A13922001,0,0,0,0,0,0,0,0,0,0
200503,A13922001,0,0,0,0,0,0,0,0,0,0
200504,A13922001,0,0,0,0,0,0,0,0,0,0
200505,A13922001,0,0,0,0,0,0,0,0,0,0
200506,A13922001,0,0,0,0,0,0,0,0,0,0
200507,A13922001,0,0,0,0,0,0,0,0,0,0
200508,A13922001,0,0,0,0,0,0,0,0,0,0
200509,A13922001,0,0,0,0,0,0,0,0,0,0
200510,A13922001,0,0,0,0,0,0,0,0,0,0
200511,A13922001,0,0,0,0,0,0,0,0,0,0
200512,A13922001,0,0,0,0,0,0,0,0,0,0
200601,A13922001,0,0,0,0,0,0,0,0,0,0
200602,A13922001,0,0,0,0,0,0,0,0,0,0
200603,A13922001,0,0,0,0,0,0,0,0,0,0
200604,A13922001,0,0,0,0,0,0,0,0,0,0
200605,A13922001,0,0,0,0,0,0,0,0,0,0
200606,A13922001,0,0,0,0,0,0,0,0,0,0
200607,A13922001,0,0,0,0,0,0,0,0,0,0
200608,A13922001,0,0,0,0,0,0,0,0,0,0
200609,A13922001,0,0,0,0,0,0,0,0,0,0
200610,A13922001,0,0,0,0,0,0,0,0,0,0
200611,A13922001,0,0,0,0,0,0,0,0,0,0
200612,A13922001,0,0,0,0,0,0,0,0,0,0
200701,A13922001,0,0,0,0,0,0,0,0,0,0
200702,A13922001,0,0,0,0,0,0,0,0,0,0
200703,A13922001,0,0,0,0,0,0,0,0,0,0
200704,A13922001,0,0,0,0,0,0,0,0,0,0
200705,A13922001,0,0,0,0,0,0,0,0,0,0
200706,A13922001,0,0,0,0,0,0,0,0,0,0
200707,A13922001,0,0,0,0,0,0,0,0,0,0
200708,A13922001,0,0,0,0,0,0,0,0,0,0
200709,A13922001,0,0,0,0,0,0,0,0,0,0
200710,A13922001,0,0,0,0,0,0,0,0,0,0
200711,A13922001,0,0,0,0,0,0,0,0,0,0
200712,A13922001,0,0,0,0,0,0,0,0,0,0
200801,A13922001,0,0,0,0,0,0,0,0,0,0
200802,A13922001,0,0,0,0,0,0,0,0,0,0
200803,A13922001,0,0,0,0,0,0,0,0,0,0
200804,A13922001,0,0,0,0,0,0,0,0,0,0
200805,A13922001,0,0,0,0,0,0,0,0,0,0
200806,A13922001,0,0,0,0,0,0,0,0,0,0
200807,A13922001,0,0,0,0,0,0,0,0,0,0
200808,A13922001,0,0,0,0,0,0,0,0,0,0
200809,A13922001,0,0,0,0,0,0,0,0,0,0
200810,A13922001,0,0,0,0,0,0,0,0,0,0
200811,A13922001,0,0,0,0,0,0,0,0,0,0
200812,A13922001,0,0,0,0,0,0,0,0,0,0
200901,A13922001,0,0,0,0,0,0,0,0,0,0
200902,A13922001,0,0,0,0,0,0,0,0,0,0
200903,A13922001,0,0,0,0,0,0,0,0,0,0
200904,A13922001,0,0,0,0,0,0,0,0,0,0
200905,A13922001,0,0,0,0,0,0,0,0,0,0
200906,A13922001,0,0,0,0,0,0,0,0,0,0
200907,A13922001,0,0,0,0,0,0,0,0,0,0
200908,A13922001,0,0,0,0,0,0,0,0,0,0
200909,A13922001,0,0,0,0,0,0,0,0,0,0
200910,A13922001,0,0,0,0,0,0,0,0,0,0
200911,A13922001,0,0,0,0,0,0,0,0,0,0
200912,A13922001,0,0,0,0,0,0,0,0,0,0
201001,A13922001,0,0,0,0,0,0,0,0,0,0
201002,A13922001,0,0,0,0,0,0,13067980,0,0,0
201003,A13922001,0,0,0,0,0,0,10021170,0,0,0
201004,A13922001,0,0,0,0,0,0,10667450,0,0,0
201005,A13922001,0,0,0,0,0,0,9585320,0,0,0
