requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
198612,A13203303,0,0,0,0,0,0,0,0,0,0
198701,A13203303,0,0,0,0,0,0,0,0,0,0
198702,A13203303,0,0,0,0,0,0,0,0,0,0
198703,A13203303,0,0,0,0,0,0,0,0,0,0
198704,A13203303,0,0,0,0,0,0,0,0,0,0
198705,A13203303,0,0,0,0,0,0,0,0,0,0
198706,A13203303,0,0,0,0,0,0,0,0,0,0
198707,A13203303,0,0,0,0,0,0,0,0,0,0
198708,A13203303,0,0,0,0,0,0,0,0,0,0
198709,A13203303,0,0,0,0,0,0,0,0,0,0
198710,A13203303,0,0,0,0,0,0,0,0,0,0
198711,A13203303,0,0,0,0,0,0,0,0,0,0
198712,A13203303,0,0,0,0,0,0,0,0,0,0
198801,A13203303,0,0,0,0,0,0,0,0,0,0
198802,A13203303,0,0,0,0,0,0,0,0,0,0
198803,A13203303,0,0,0,0,0,0,0,0,0,0
198804,A13203303,0,0,0,0,0,0,0,0,0,0
198805,A13203303,0,0,0,0,0,0,0,0,0,0
198806,A13203303,0,0,0,0,0,0,0,0,0,0
198807,A13203303,0,0,0,0,0,0,0,0,0,0
198808,A13203303,0,0,0,0,0,0,0,0,0,0
198809,A13203303,0,0,0,0,0,0,0,0,0,0
198810,A13203303,0,0,0,0,0,0,0,0,0,0
198811,A13203303,0,0,0,0,0,0,0,0,0,0
198812,A13203303,0,0,0,0,0,0,0,0,0,0
198901,A13203303,0,0,0,0,0,0,0,0,0,0
198902,A13203303,0,0,0,0,0,0,0,0,0,0
198903,A13203303,0,0,0,0,0,0,0,0,0,0
198904,A13203303,0,0,0,0,0,0,0,0,0,0
198905,A13203303,0,0,0,0,0,0,0,0,0,0
198906,A13203303,0,0,0,0,0,0,0,0,0,0
198907,A13203303,0,0,0,0,0,0,0,0,0,0
198908,A13203303,0,0,0,0,0,0,0,0,0,0
198909,A13203303,0,0,0,0,0,0,0,0,0,0
198910,A13203303,0,0,0,0,0,0,0,0,0,0
198911,A13203303,0,0,0,0,0,0,0,0,0,0
198912,A13203303,0,0,0,0,0,0,0,0,0,0
199001,A13203303,0,0,0,0,0,0,0,0,0,0
199002,A13203303,0,0,0,0,0,0,0,0,0,0
199003,A13203303,0,0,0,0,0,0,0,0,0,0
199004,A13203303,0,0,0,0,0,0,0,0,0,0
199005,A13203303,0,0,0,0,0,0,0,0,0,0
199006,A13203303,0,0,0,0,0,0,0,0,0,0
199007,A13203303,0,0,0,0,0,0,0,0,0,0
199008,A13203303,0,0,0,0,0,0,0,0,0,0
199009,A13203303,0,0,0,0,0,0,0,0,0,0
199010,A13203303,0,0,0,0,0,0,0,0,0,0
199011,A13203303,0,0,0,0,0,0,0,0,0,0
199012,A13203303,0,0,0,0,0,0,0,0,0,0
199101,A13203303,0,0,0,0,0,0,0,0,0,0
199102,A13203303,0,0,0,0,0,0,0,0,0,0
199103,A13203303,0,0,0,0,0,0,0,0,0,0
199104,A13203303,0,0,0,0,0,0,0,0,0,0
199105,A13203303,0,0,0,0,0,0,0,0,0,0
199106,A13203303,0,0,0,0,0,0,0,0,0,0
199107,A13203303,0,0,0,0,0,0,0,0,0,0
199108,A13203303,0,0,0,0,0,0,0,0,0,0
199109,A13203303,0,0,0,0,0,0,0,0,0,0
199110,A13203303,0,0,0,0,0,0,0,0,0,0
199111,A13203303,0,0,0,0,0,0,0,0,0,0
199112,A13203303,0,0,0,0,0,0,0,0,0,0
199201,A13203303,0,0,0,0,0,0,0,0,0,0
199202,A13203303,0,0,0,0,0,0,0,0,0,0
199203,A13203303,0,0,0,0,0,0,0,0,0,0
199204,A13203303,0,0,0,0,0,0,0,0,0,0
199205,A13203303,0,0,0,0,0,0,0,0,0,0
199206,A13203303,0,0,0,0,0,0,0,0,0,0
199207,A13203303,0,0,0,0,0,0,0,0,0,0
199208,A13203303,0,0,0,0,0,0,0,0,0,0
199209,A13203303,0,0,0,0,0,0,0,0,0,0
199210,A13203303,0,0,0,0,0,0,0,0,0,0
199211,A13203303,0,0,0,0,0,0,0,0,0,0
199212,A13203303,0,0,0,0,0,0,0,0,0,0
199301,A13203303,0,0,0,0,0,0,0,0,0,0
199302,A13203303,0,0,0,0,0,0,0,0,0,0
199303,A13203303,0,0,0,0,0,0,0,0,0,0
199304,A13203303,0,0,0,0,0,0,0,0,0,0
199305,A13203303,0,0,0,0,0,0,0,0,0,0
199306,A13203303,0,0,0,0,0,0,0,0,0,0
199307,A13203303,0,0,0,0,0,0,0,0,0,0
199308,A13203303,0,0,0,0,0,0,0,0,0,0
199309,A13203303,0,0,0,0,0,0,0,0,0,0
199310,A13203303,0,0,0,0,0,0,0,0,0,0
199311,A13203303,0,0,0,0,0,0,0,0,0,0
199312,A13203303,0,0,0,0,0,0,0,0,0,0
199401,A13203303,0,0,0,0,0,0,0,0,0,0
199402,A13203303,0,0,0,0,0,0,0,0,0,0
199403,A13203303,0,0,0,0,0,0,0,0,0,0
199404,A13203303,0,0,0,0,0,0,0,0,0,0
199405,A13203303,0,0,0,0,0,0,0,0,0,0
199406,A13203303,0,0,0,0,0,0,0,0,0,0
199407,A13203303,0,0,0,0,0,0,0,0,0,0
199408,A13203303,0,0,0,0,0,0,0,0,0,0
199409,A13203303,0,0,0,0,0,0,0,0,0,0
199410,A13203303,0,0,0,0,0,0,0,0,0,0
199411,A13203303,0,0,0,0,0,0,0,0,0,0
199412,A13203303,0,0,0,0,0,0,0,0,0,0
199501,A13203303,0,0,0,0,0,0,0,0,0,0
199502,A13203303,0,0,0,0,0,0,0,0,0,0
199503,A13203303,0,0,0,0,0,0,0,0,0,0
199504,A13203303,0,0,0,0,0,0,0,0,0,0
199505,A13203303,0,0,0,0,0,0,0,0,0,0
199506,A13203303,0,0,0,0,0,0,0,0,0,0
199507,A13203303,0,0,0,0,0,0,0,0,0,0
199508,A13203303,0,0,0,0,0,0,0,0,0,0
199509,A13203303,0,0,0,0,0,0,0,0,0,0
199510,A13203303,0,0,0,0,0,0,0,0,0,0
199511,A13203303,0,0,0,0,0,0,0,0,0,0
199512,A13203303,0,0,0,0,0,0,0,0,0,0
199601,A13203303,0,0,0,0,0,0,0,0,0,0
199602,A13203303,0,0,0,0,0,0,0,0,0,0
199603,A13203303,0,0,0,0,0,0,0,0,0,0
199604,A13203303,0,0,0,0,0,0,0,0,0,0
199605,A13203303,0,0,0,0,0,0,0,0,0,0
199606,A13203303,0,0,0,0,0,0,0,0,0,0
199607,A13203303,0,0,0,0,0,0,0,0,0,0
199608,A13203303,0,0,0,0,0,0,0,0,0,0
199609,A13203303,0,0,0,0,0,0,0,0,0,0
199610,A13203303,0,0,0,0,0,0,0,0,0,0
199611,A13203303,0,0,0,0,0,0,0,0,0,0
199612,A13203303,0,0,0,0,0,0,0,0,0,0
199701,A13203303,0,0,0,0,0,0,0,0,0,0
199702,A13203303,0,0,0,0,0,0,0,0,0,0
199703,A13203303,0,0,0,0,0,0,0,0,0,0
199704,A13203303,0,0,0,0,0,0,0,0,0,0
199705,A13203303,0,0,0,0,0,0,0,0,0,0
199706,A13203303,0,0,0,0,0,0,0,0,0,0
199707,A13203303,0,0,0,0,0,0,0,0,0,0
199708,A13203303,0,0,0,0,0,0,0,0,0,0
199709,A13203303,0,0,0,0,0,0,0,0,0,0
199710,A13203303,0,0,0,0,0,0,0,0,0,0
199711,A13203303,0,0,0,0,0,0,0,0,0,0
199712,A13203303,0,0,0,0,0,0,0,0,0,0
199801,A13203303,0,0,0,0,0,0,0,0,0,0
199802,A13203303,0,0,0,0,0,0,0,0,0,0
199803,A13203303,0,0,0,0,0,0,0,0,0,0
199804,A13203303,0,0,0,0,0,0,0,0,0,0
199805,A13203303,0,0,0,0,0,0,0,0,0,0
199806,A13203303,0,0,0,0,0,0,0,0,0,0
199807,A13203303,0,0,0,0,0,0,0,0,0,0
199808,A13203303,0,0,0,0,0,0,0,0,0,0
199809,A13203303,0,0,0,0,0,0,0,0,0,0
199810,A13203303,0,0,0,0,0,0,0,0,0,0
199811,A13203303,0,0,0,0,0,0,0,0,0,0
199812,A13203303,0,0,0,0,0,0,0,0,0,0
199901,A13203303,0,0,0,0,0,0,0,0,0,0
199902,A13203303,0,0,0,0,0,0,0,0,0,0
199903,A13203303,0,0,0,0,0,0,0,0,0,0
199904,A13203303,0,0,0,0,0,0,0,0,0,0
199905,A13203303,0,0,0,0,0,0,0,0,0,0
199906,A13203303,0,0,0,0,0,0,0,0,0,0
199907,A13203303,0,0,0,0,0,0,0,0,0,0
199908,A13203303,0,0,0,0,0,0,0,0,0,0
199909,A13203303,0,0,0,0,0,0,0,0,0,0
199910,A13203303,0,0,0,0,0,0,0,0,0,0
199911,A13203303,0,0,0,0,0,0,0,0,0,0
199912,A13203303,0,0,0,0,0,0,0,0,0,0
200001,A13203303,0,0,0,0,0,0,0,0,0,0
200002,A13203303,0,0,0,0,0,0,0,0,0,0
200003,A13203303,0,0,0,0,0,0,0,0,0,0
200004,A13203303,0,0,0,0,0,0,0,0,0,0
200005,A13203303,0,0,0,0,0,0,0,0,0,0
200006,A13203303,0,0,0,0,0,0,0,0,0,0
200007,A13203303,0,0,0,0,0,0,0,0,0,0
200008,A13203303,0,0,0,0,0,0,0,0,0,0
200009,A13203303,0,0,0,0,0,0,0,0,0,0
200010,A13203303,0,0,0,0,0,0,0,0,0,0
200011,A13203303,0,0,0,0,0,0,0,0,0,0
200012,A13203303,0,0,0,0,0,0,0,0,0,0
200101,A13203303,0,0,0,0,0,0,0,0,0,0
200102,A13203303,0,0,0,0,0,0,0,0,0,0
200103,A13203303,0,0,0,0,0,0,0,0,0,0
200104,A13203303,0,0,0,0,0,0,0,0,0,0
200105,A13203303,0,0,0,0,0,0,0,0,0,0
200106,A13203303,0,0,0,0,0,0,0,0,0,0
200107,A13203303,0,0,0,0,0,0,0,0,0,0
200108,A13203303,0,0,0,0,0,0,0,0,0,0
200109,A13203303,0,0,0,0,0,0,0,0,0,0
200110,A13203303,0,0,0,0,0,0,0,0,0,0
200111,A13203303,0,0,0,0,0,0,0,0,0,0
200112,A13203303,0,0,0,0,0,0,0,0,0,0
200201,A13203303,0,0,0,0,0,0,0,0,0,0
200202,A13203303,0,0,0,0,0,0,0,0,0,0
200203,A13203303,0,0,0,0,0,0,0,0,0,0
200204,A13203303,0,0,0,0,0,0,0,0,0,0
200205,A13203303,0,0,0,0,0,0,0,0,0,0
200206,A13203303,0,0,0,0,0,0,0,0,0,0
200207,A13203303,0,0,0,0,0,0,0,0,0,0
200208,A13203303,0,0,0,0,0,0,0,0,0,0
200209,A13203303,0,0,0,0,0,0,0,0,0,0
200210,A13203303,0,0,0,0,0,0,0,0,0,0
200211,A13203303,0,0,0,0,0,0,0,0,0,0
200212,A13203303,0,0,0,0,0,0,0,0,0,0
200301,A13203303,0,0,0,0,0,0,0,0,0,0
200302,A13203303,0,0,0,0,0,0,0,0,0,0
200303,A13203303,0,0,0,0,0,0,0,0,0,0
