requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
198511,A15875101,0,0,0,0,0,0,0,0,0,0
198512,A15875101,0,0,0,0,0,0,0,0,0,0
198601,A15875101,0,0,0,0,0,0,0,0,0,0
198602,A15875101,0,0,0,0,0,0,0,0,0,0
198603,A15875101,0,0,0,0,0,0,0,0,0,0
198604,A15875101,0,0,0,0,0,0,0,0,0,0
198605,A15875101,0,0,0,0,0,0,0,0,0,0
198606,A15875101,0,0,0,0,0,0,0,0,0,0
198607,A15875101,0,0,0,0,0,0,0,0,0,0
198608,A15875101,0,0,0,0,0,0,0,0,0,0
198609,A15875101,0,0,0,0,0,0,0,0,0,0
198610,A15875101,0,0,0,0,0,0,0,0,0,0
198611,A15875101,0,0,0,0,0,0,0,0,0,0
198612,A15875101,0,0,0,0,0,0,0,0,0,0
198701,A15875101,0,0,0,0,0,0,0,0,0,0
198702,A15875101,0,0,0,0,0,0,0,0,0,0
198703,A15875101,0,0,0,0,0,0,0,0,0,0
198704,A15875101,0,0,0,0,0,0,0,0,0,0
198705,A15875101,0,0,0,0,0,0,0,0,0,0
198706,A15875101,0,0,0,0,0,0,0,0,0,0
198707,A15875101,0,0,0,0,0,0,0,0,0,0
198708,A15875101,0,0,0,0,0,0,0,0,0,0
198709,A15875101,0,0,0,0,0,0,0,0,0,0
198710,A15875101,0,0,0,0,0,0,0,0,0,0
198711,A15875101,0,0,0,0,0,0,0,0,0,0
198712,A15875101,0,0,0,0,0,0,0,0,0,0
198801,A15875101,0,0,0,0,0,0,0,0,0,0
198802,A15875101,0,0,0,0,0,0,0,0,0,0
198803,A15875101,0,0,0,0,0,0,0,0,0,0
198804,A15875101,0,0,0,0,0,0,0,0,0,0
198805,A15875101,0,0,0,0,0,0,0,0,0,0
198806,A15875101,0,0,0,0,0,0,0,0,0,0
198807,A15875101,0,0,0,0,0,0,0,0,0,0
198808,A15875101,0,0,0,0,0,0,0,0,0,0
198809,A15875101,0,0,0,0,0,0,0,0,0,0
198810,A15875101,0,0,0,0,0,0,0,0,0,0
198811,A15875101,0,0,0,0,0,0,0,0,0,0
198812,A15875101,0,0,0,0,0,0,0,0,0,0
198901,A15875101,0,0,0,0,0,0,0,0,0,0
198902,A15875101,0,0,0,0,0,0,0,0,0,0
198903,A15875101,0,0,0,0,0,0,0,0,0,0
198904,A15875101,0,0,0,0,0,0,0,0,0,0
198905,A15875101,0,0,0,0,0,0,0,0,0,0
198906,A15875101,0,0,0,0,0,0,0,0,0,0
198907,A15875101,0,0,0,0,0,0,0,0,0,0
198908,A15875101,0,0,0,0,0,0,0,0,0,0
198909,A15875101,0,0,0,0,0,0,0,0,0,0
198910,A15875101,0,0,0,0,0,0,0,0,0,0
198911,A15875101,0,0,0,0,0,0,0,0,0,0
198912,A15875101,0,0,0,0,0,0,0,0,0,0
199001,A15875101,0,0,0,0,0,0,0,0,0,0
199002,A15875101,0,0,0,0,0,0,0,0,0,0
199003,A15875101,0,0,0,0,0,0,0,0,0,0
199004,A15875101,0,0,0,0,0,0,0,0,0,0
199005,A15875101,0,0,0,0,0,0,0,0,0,0
199006,A15875101,0,0,0,0,0,0,0,0,0,0
199007,A15875101,0,0,0,0,0,0,0,0,0,0
199008,A15875101,0,0,0,0,0,0,0,0,0,0
199009,A15875101,0,0,0,0,0,0,0,0,0,0
199010,A15875101,0,0,0,0,0,0,0,0,0,0
199011,A15875101,0,0,0,0,0,0,0,0,0,0
199012,A15875101,0,0,0,0,0,0,0,0,0,0
199101,A15875101,0,0,0,0,0,0,0,0,0,0
199102,A15875101,0,0,0,0,0,0,0,0,0,0
199103,A15875101,0,0,0,0,0,0,0,0,0,0
199104,A15875101,0,0,0,0,0,0,0,0,0,0
199105,A15875101,0,0,0,0,0,0,0,0,0,0
199106,A15875101,0,0,0,0,0,0,0,0,0,0
199107,A15875101,0,0,0,0,0,0,0,0,0,0
199108,A15875101,0,0,0,0,0,0,0,0,0,0
199109,A15875101,0,0,0,0,0,0,0,0,0,0
199110,A15875101,0,0,0,0,0,0,0,0,0,0
199111,A15875101,0,0,0,0,0,0,0,0,0,0
199112,A15875101,0,0,0,0,0,0,0,0,0,0
199201,A15875101,0,0,0,0,0,0,0,0,0,0
199202,A15875101,0,0,0,0,0,0,0,0,0,0
199203,A15875101,0,0,0,0,0,0,0,0,0,0
199204,A15875101,0,0,0,0,0,0,0,0,0,0
199205,A15875101,0,0,0,0,0,0,0,0,0,0
199206,A15875101,0,0,0,0,0,0,0,0,0,0
199207,A15875101,0,0,0,0,0,0,0,0,0,0
199208,A15875101,0,0,0,0,0,0,0,0,0,0
199209,A15875101,0,0,0,0,0,0,0,0,0,0
199210,A15875101,0,0,0,0,0,0,0,0,0,0
199211,A15875101,0,0,0,0,0,0,0,0,0,0
199212,A15875101,0,0,0,0,0,0,0,0,0,0
199301,A15875101,0,0,0,0,0,0,0,0,0,0
199302,A15875101,0,0,0,0,0,0,0,0,0,0
199303,A15875101,0,0,0,0,0,0,0,0,0,0
199304,A15875101,0,0,0,0,0,0,0,0,0,0
199305,A15875101,0,0,0,0,0,0,0,0,0,0
199306,A15875101,0,0,0,0,0,0,0,0,0,0
199307,A15875101,0,0,0,0,0,0,0,0,0,0
199308,A15875101,0,0,0,0,0,0,0,0,0,0
199309,A15875101,0,0,0,0,0,0,0,0,0,0
199310,A15875101,0,0,0,0,0,0,0,0,0,0
199311,A15875101,0,0,0,0,0,0,0,0,0,0
199312,A15875101,0,0,0,0,0,0,0,0,0,0
199401,A15875101,0,0,0,0,0,0,0,0,0,0
199402,A15875101,0,0,0,0,0,0,0,0,0,0
199403,A15875101,0,0,0,0,0,0,0,0,0,0
199404,A15875101,0,0,0,0,0,0,0,0,0,0
199405,A15875101,0,0,0,0,0,0,0,0,0,0
199406,A15875101,0,0,0,0,0,0,0,0,0,0
199407,A15875101,0,0,0,0,0,0,0,0,0,0
199408,A15875101,0,0,0,0,0,0,0,0,0,0
199409,A15875101,0,0,0,0,0,0,0,0,0,0
199410,A15875101,0,0,0,0,0,0,0,0,0,0
199411,A15875101,0,0,0,0,0,0,0,0,0,0
199412,A15875101,0,0,0,0,0,0,0,0,0,0
199501,A15875101,0,0,0,0,0,0,0,0,0,0
199502,A15875101,0,0,0,0,0,0,0,0,0,0
199503,A15875101,0,0,0,0,0,0,0,0,0,0
199504,A15875101,0,0,0,0,0,0,0,0,0,0
199505,A15875101,0,0,0,0,0,0,0,0,0,0
199506,A15875101,0,0,0,0,0,0,0,0,0,0
199507,A15875101,0,0,0,0,0,0,0,0,0,0
199508,A15875101,0,0,0,0,0,0,0,0,0,0
199509,A15875101,0,0,0,0,0,0,0,0,0,0
199510,A15875101,0,0,0,0,0,0,0,0,0,0
199511,A15875101,0,0,0,0,0,0,0,0,0,0
199512,A15875101,0,0,0,0,0,0,0,0,0,0
199601,A15875101,0,0,0,0,0,0,0,0,0,0
199602,A15875101,0,0,0,0,0,0,0,0,0,0
199603,A15875101,0,0,0,0,0,0,0,0,0,0
199604,A15875101,0,0,0,0,0,0,0,0,0,0
199605,A15875101,0,0,0,0,0,0,0,0,0,0
199606,A15875101,0,0,0,0,0,0,0,0,0,0
199607,A15875101,0,0,0,0,0,0,0,0,0,0
199608,A15875101,0,0,0,0,0,0,0,0,0,0
199609,A15875101,0,0,0,0,0,0,0,0,0,0
199610,A15875101,0,0,0,0,0,0,0,0,0,0
199611,A15875101,0,0,0,0,0,0,0,0,0,0
199612,A15875101,0,0,0,0,0,0,0,0,0,0
199701,A15875101,0,0,0,0,0,0,0,0,0,0
199702,A15875101,0,0,0,0,0,0,0,0,0,0
199703,A15875101,0,0,0,0,0,0,0,0,0,0
199704,A15875101,0,0,0,0,0,0,0,0,0,0
199705,A15875101,0,0,0,0,0,0,0,0,0,0
199706,A15875101,0,0,0,0,0,0,0,0,0,0
199707,A15875101,0,0,0,0,0,0,0,0,0,0
199708,A15875101,0,0,0,0,0,0,0,0,0,0
199709,A15875101,0,0,0,0,0,0,0,0,0,0
199710,A15875101,0,0,0,0,0,0,0,0,0,0
199711,A15875101,0,0,0,0,0,0,0,0,0,0
199712,A15875101,0,0,0,0,0,0,0,0,0,0
199801,A15875101,0,0,0,0,0,0,0,0,0,0
199802,A15875101,0,0,0,0,0,0,0,0,0,0
199803,A15875101,0,0,0,0,0,0,0,0,0,0
199804,A15875101,0,0,0,0,0,0,0,0,0,0
199805,A15875101,0,0,0,0,0,0,0,0,0,0
199806,A15875101,0,0,0,0,0,0,0,0,0,0
199807,A15875101,0,0,0,0,0,0,0,0,0,0
199808,A15875101,0,0,0,0,0,0,0,0,0,0
199809,A15875101,0,0,0,0,0,0,0,0,0,0
199810,A15875101,0,0,0,0,0,0,0,0,0,0
199811,A15875101,0,0,0,0,0,0,0,0,0,0
199812,A15875101,0,0,0,0,0,0,0,0,0,0
199901,A15875101,0,0,0,0,0,0,0,0,0,0
199902,A15875101,0,0,0,0,0,0,0,0,0,0
199903,A15875101,0,0,0,0,0,0,0,0,0,0
199904,A15875101,0,0,0,0,0,0,0,0,0,0
199905,A15875101,0,0,0,0,0,0,0,0,0,0
199906,A15875101,0,0,0,0,0,0,0,0,0,0
199907,A15875101,0,0,0,0,0,0,0,0,0,0
199908,A15875101,0,0,0,0,0,0,0,0,0,0
199909,A15875101,0,0,0,0,0,0,0,0,0,0
199910,A15875101,0,0,0,0,0,0,0,0,0,0
199911,A15875101,0,0,0,0,0,0,0,0,0,0
199912,A15875101,0,0,0,0,0,0,0,0,0,0
200001,A15875101,0,0,0,0,0,0,0,0,0,0
200002,A15875101,0,0,0,0,0,0,0,0,0,0
200003,A15875101,0,0,0,0,0,0,0,0,0,0
200004,A15875101,0,0,0,0,0,0,0,0,0,0
200005,A15875101,0,0,0,0,0,0,0,0,0,0
200006,A15875101,0,0,0,0,0,0,0,0,0,0
200007,A15875101,0,0,0,0,0,0,0,0,0,0
200008,A15875101,0,0,0,0,0,0,0,0,0,0
200009,A15875101,0,0,0,0,0,0,0,0,0,0
200010,A15875101,0,0,0,0,0,0,0,0,0,0
200011,A15875101,0,0,0,0,0,0,0,0,0,0
200012,A15875101,0,0,0,0,0,0,0,0,0,0
200101,A15875101,0,0,0,0,0,0,0,0,0,0
200102,A15875101,0,0,0,0,0,0,0,0,0,0
200103,A15875101,0,0,0,0,0,0,0,0,0,0
200104,A15875101,0,0,0,0,0,0,0,0,0,0
200105,A15875101,0,0,0,0,0,0,0,0,0,0
200106,A15875101,0,0,0,0,0,0,0,0,0,0
200107,A15875101,0,0,0,0,0,0,0,0,0,0
200108,A15875101,0,0,0,0,0,0,0,0,0,0
200109,A15875101,0,0,0,0,0,0,0,0,0,0
200110,A15875101,0,0,0,0,0,0,0,0,0,0
200111,A15875101,0,0,0,0,0,0,0,0,0,0
200112,A15875101,0,0,0,0,0,0,0,0,0,0
200201,A15875101,0,0,0,0,0,0,0,0,0,0
200202,A15875101,0,0,0,0,0,0,0,0,0,0
200203,A15875101,0,0,0,0,0,0,0,0,0,0
200204,A15875101,0,0,0,0,0,0,0,0,0,0
200205,A15875101,0,0,0,0,0,0,0,0,0,0
200206,A15875101,0,0,0,0,0,0,0,0,0,0
200207,A15875101,0,0,0,0,0,0,0,0,0,0
200208,A15875101,0,0,0,0,0,0,0,0,0,0
200209,A15875101,0,0,0,0,0,0,0,0,0,0
200210,A15875101,0,0,0,0,0,0,0,0,0,0
200211,A15875101,0,0,0,0,0,0,0,0,0,0
200212,A15875101,0,0,0,0,0,0,0,0,0,0
200301,A15875101,0,0,0,0,0,0,0,0,0,0
200302,A15875101,0,0,0,0,0,0,0,0,0,0
200303,A15875101,0,0,0,0,0,0,0,0,0,0
200304,A15875101,0,0,0,0,0,0,0,0,0,0
200305,A15875101,0,0,0,0,0,0,0,0,0,0
200306,A15875101,0,0,0,0,0,0,0,0,0,0
200307,A15875101,0,0,0,0,0,0,0,0,0,0
200308,A15875101,0,0,0,0,0,0,0,0,0,0
200309,A15875101,0,0,0,0,0,0,0,0,0,0
200310,A15875101,0,0,0,0,0,0,0,0,0,0
200311,A15875101,0,0,0,0,0,0,0,0,0,0
200312,A15875101,0,0,0,0,0,0,0,0,0,0
200401,A15875101,0,0,0,0,0,0,0,0,0,0
200402,A15875101,0,0,0,0,0,0,0,0,0,0
200403,A15875101,0,0,0,0,0,0,0,0,0,0
200404,A15875101,0,0,0,0,0,0,0,0,0,0
200405,A15875101,0,0,0,0,0,0,0,0,0,0
200406,A15875101,0,0,0,0,0,0,0,0,0,0
200407,A15875101,0,0,0,0,0,0,0,0,0,0
200408,A15875101,0,0,0,0,0,0,0,0,0,0
200409,A15875101,0,0,0,0,0,0,0,0,0,0
200410,A15875101,0,0,0,0,0,0,0,0,0,0
