requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200106,A13993901,0,0,0,0,0,0,0,0,0,0
200107,A13993901,0,0,0,0,0,0,0,0,0,0
200108,A13993901,0,0,0,0,0,0,0,0,0,0
200109,A13993901,0,0,0,0,0,0,0,0,0,0
200110,A13993901,0,0,0,0,0,0,0,0,0,0
200111,A13993901,0,0,0,0,0,0,0,0,0,0
200112,A13993901,0,0,0,0,0,0,0,0,0,0
200201,A13993901,0,0,0,0,0,0,0,0,0,0
200202,A13993901,0,0,0,0,0,0,0,0,0,0
200203,A13993901,0,0,0,0,0,0,0,0,0,0
200204,A13993901,0,0,0,0,0,0,0,0,0,0
200205,A13993901,0,0,0,0,0,0,0,0,0,0
200206,A13993901,0,0,0,0,0,0,0,0,0,0
200207,A13993901,0,0,0,0,0,0,0,0,0,0
200208,A13993901,0,0,0,0,0,0,0,0,0,0
200209,A13993901,0,0,0,0,0,0,0,0,0,0
200210,A13993901,0,0,0,0,0,0,0,0,0,0
200211,A13993901,0,0,0,0,0,0,0,0,0,0
200212,A13993901,0,0,0,0,0,0,0,0,0,0
200301,A13993901,0,0,0,0,0,0,0,0,0,0
200302,A13993901,0,0,0,0,0,0,0,0,0,0
200303,A13993901,0,0,0,0,0,0,0,0,0,0
200304,A13993901,0,0,0,0,0,0,0,0,0,0
200305,A13993901,0,0,0,0,0,0,0,0,0,0
200306,A13993901,0,0,0,0,0,0,0,0,0,0
200307,A13993901,0,0,0,0,0,0,0,0,0,0
200308,A13993901,0,0,0,0,0,0,0,0,0,0
200309,A13993901,0,0,0,0,0,0,0,0,0,0
200310,A13993901,0,0,0,0,0,0,0,0,0,0
200311,A13993901,0,0,0,0,0,0,0,0,0,0
200312,A13993901,0,0,0,0,0,0,0,0,0,0
200401,A13993901,0,0,0,0,0,0,0,0,0,0
200402,A13993901,0,0,0,0,0,0,0,0,0,0
200403,A13993901,0,0,0,0,0,0,0,0,0,0
200404,A13993901,0,0,0,0,0,0,0,0,0,0
200405,A13993901,0,0,0,0,0,0,0,0,0,0
200406,A13993901,0,0,0,0,0,0,0,0,0,0
200407,A13993901,0,0,0,0,0,0,0,0,0,0
200408,A13993901,0,0,0,0,0,0,0,0,0,0
200409,A13993901,0,0,0,0,0,0,0,0,0,0
200410,A13993901,0,0,0,0,0,0,0,0,0,0
200411,A13993901,0,0,0,0,0,0,0,0,0,0
200412,A13993901,0,0,0,0,0,0,0,0,0,0
200501,A13993901,0,0,0,0,0,0,0,0,0,0
200502,A13993901,0,0,0,0,0,0,0,0,0,0
200503,A13993901,0,0,0,0,0,0,0,0,0,0
200504,A13993901,0,0,0,0,0,0,0,0,0,0
200505,A13993901,0,0,0,0,0,0,0,0,0,0
200506,A13993901,0,0,0,0,0,0,0,0,0,0
200507,A13993901,0,0,0,0,0,0,0,0,0,0
200508,A13993901,0,0,0,0,0,0,0,0,0,0
200509,A13993901,0,0,0,0,0,0,0,0,0,0
200510,A13993901,0,0,0,0,0,0,0,0,0,0
200511,A13993901,0,0,0,0,0,0,0,0,0,0
200512,A13993901,0,0,0,0,0,0,0,0,0,0
200601,A13993901,0,0,0,0,0,0,0,0,0,0
200602,A13993901,0,0,0,0,0,0,0,0,0,0
200603,A13993901,0,0,0,0,0,0,0,0,0,0
200604,A13993901,0,0,0,0,0,0,0,0,0,0
200605,A13993901,0,0,0,0,0,0,0,0,0,0
200606,A13993901,0,0,0,0,0,0,0,0,0,0
200607,A13993901,0,0,0,0,0,0,0,0,0,0
200608,A13993901,0,0,0,0,0,0,0,0,0,0
200609,A13993901,0,0,0,0,0,0,0,0,0,0
200610,A13993901,0,0,0,0,0,0,0,0,0,0
200611,A13993901,0,0,0,0,0,0,0,0,0,0
200612,A13993901,0,0,0,0,0,0,0,0,0,0
200701,A13993901,0,0,0,0,0,0,0,0,0,0
200702,A13993901,0,0,0,0,0,0,0,0,0,0
200703,A13993901,0,0,0,0,0,0,0,0,0,0
200704,A13993901,0,0,0,0,0,0,0,0,0,0
200705,A13993901,0,0,0,0,0,0,0,0,0,0
200706,A13993901,0,0,0,0,0,0,0,0,0,0
200707,A13993901,0,0,0,0,0,0,0,0,0,0
200708,A13993901,0,0,0,0,0,0,0,0,0,0
200709,A13993901,0,0,0,0,0,0,0,0,0,0
200710,A13993901,0,0,0,0,0,0,0,0,0,0
200711,A13993901,0,0,0,0,0,0,0,0,0,0
200712,A13993901,0,0,0,0,0,0,0,0,0,0
200801,A13993901,0,0,0,0,0,0,0,0,0,0
200802,A13993901,0,0,0,0,0,0,0,0,0,0
200803,A13993901,0,0,0,0,0,0,0,0,0,0
200804,A13993901,0,0,0,0,0,0,0,0,0,0
200805,A13993901,0,0,0,0,0,0,0,0,0,0
200806,A13993901,0,0,0,0,0,0,0,0,0,0
200807,A13993901,0,0,0,0,0,0,0,0,0,0
200808,A13993901,0,0,0,0,0,0,0,0,0,0
200809,A13993901,0,0,0,0,0,0,0,0,0,0
200810,A13993901,0,0,0,0,0,0,0,0,0,0
200811,A13993901,0,0,0,0,0,0,0,0,0,0
200812,A13993901,0,0,0,0,0,0,0,0,0,0
