requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199911,A13006002,0,0,0,0,0,0,0,0,0,0
199912,A13006002,0,0,0,0,0,0,0,0,0,0
200001,A13006002,0,0,0,0,0,0,0,0,0,0
200002,A13006002,0,0,0,0,0,0,0,0,0,0
200003,A13006002,0,0,0,0,0,0,0,0,0,0
200004,A13006002,0,0,0,0,0,0,0,0,0,0
200005,A13006002,0,0,0,0,0,0,0,0,0,0
200006,A13006002,0,0,0,0,0,0,0,0,0,0
200007,A13006002,0,0,0,0,0,0,0,0,0,0
200008,A13006002,0,0,0,0,0,0,0,0,0,0
200009,A13006002,0,0,0,0,0,0,0,0,0,0
200010,A13006002,0,0,0,0,0,0,0,0,0,0
200011,A13006002,0,0,0,0,0,0,0,0,0,0
200012,A13006002,0,0,0,0,0,0,0,0,0,0
200101,A13006002,0,0,0,0,0,0,0,0,0,0
200102,A13006002,0,0,0,0,0,0,0,0,0,0
200103,A13006002,0,0,0,0,0,0,0,0,0,0
200104,A13006002,0,0,0,0,0,0,0,0,0,0
200105,A13006002,0,0,0,0,0,0,0,0,0,0
200106,A13006002,0,0,0,0,0,0,0,0,0,0
200107,A13006002,0,0,0,0,0,0,0,0,0,0
200108,A13006002,0,0,0,0,0,0,0,0,0,0
200109,A13006002,0,0,0,0,0,0,0,0,0,0
200110,A13006002,0,0,0,0,0,0,0,0,0,0
200111,A13006002,0,0,0,0,0,0,0,0,0,0
200112,A13006002,0,0,0,0,0,0,0,0,0,0
200201,A13006002,0,0,0,0,0,0,0,0,0,0
200202,A13006002,0,0,0,0,0,0,0,0,0,0
200203,A13006002,0,0,0,0,0,0,0,0,0,0
200204,A13006002,0,0,0,0,0,0,0,0,0,0
200205,A13006002,0,0,0,0,0,0,0,0,0,0
200206,A13006002,0,0,0,0,0,0,0,0,0,0
200207,A13006002,0,0,0,0,0,0,0,0,0,0
200208,A13006002,0,0,0,0,0,0,0,0,0,0
200209,A13006002,0,0,0,0,0,0,0,0,0,0
200210,A13006002,0,0,0,0,0,0,0,0,0,0
200211,A13006002,0,0,0,0,0,0,0,0,0,0
200212,A13006002,0,0,0,0,0,0,0,0,0,0
200301,A13006002,0,0,0,0,0,0,0,0,0,0
200302,A13006002,0,0,0,0,0,0,0,0,0,0
200303,A13006002,0,0,0,0,0,0,0,0,0,0
200304,A13006002,0,0,0,0,0,0,0,0,0,0
200305,A13006002,0,0,0,0,0,0,0,0,0,0
200306,A13006002,0,0,0,0,0,0,0,0,0,0
200307,A13006002,0,0,0,0,0,0,0,0,0,0
200308,A13006002,0,0,0,0,0,0,0,0,0,0
200309,A13006002,0,0,0,0,0,0,0,0,0,0
200310,A13006002,0,0,0,0,0,0,0,0,0,0
200311,A13006002,0,0,0,0,0,0,0,0,0,0
200312,A13006002,0,0,0,0,0,0,0,0,0,0
200401,A13006002,0,0,0,0,0,0,0,0,0,0
200402,A13006002,0,0,0,0,0,0,0,0,0,0
200403,A13006002,0,0,0,0,0,0,0,0,0,0
200404,A13006002,0,0,0,0,0,0,0,0,0,0
200405,A13006002,0,0,0,0,0,0,0,0,0,0
200406,A13006002,0,0,0,0,0,0,0,0,0,0
200407,A13006002,0,0,0,0,0,0,0,0,0,0
200408,A13006002,0,0,0,0,0,0,0,0,0,0
200409,A13006002,0,0,0,0,0,0,0,0,0,0
200410,A13006002,0,0,0,0,0,0,0,0,0,0
200411,A13006002,0,0,0,0,0,0,0,0,0,0
200412,A13006002,0,0,0,0,0,0,0,0,0,0
200501,A13006002,0,0,0,0,0,0,0,0,0,0
200502,A13006002,0,0,0,0,0,0,0,0,0,0
200503,A13006002,0,0,0,0,0,0,0,0,0,0
200504,A13006002,0,0,0,0,0,0,0,0,0,0
200505,A13006002,0,0,0,0,0,0,0,0,0,0
200506,A13006002,0,0,0,0,0,0,0,0,0,0
200507,A13006002,0,0,0,0,0,0,0,0,0,0
200508,A13006002,0,0,0,0,0,0,0,0,0,0
200509,A13006002,0,0,0,0,0,0,0,0,0,0
200510,A13006002,0,0,0,0,0,0,0,0,0,0
200511,A13006002,0,0,0,0,0,0,0,0,0,0
200512,A13006002,0,0,0,0,0,0,0,0,0,0
200601,A13006002,0,0,0,0,0,0,0,0,0,0
200602,A13006002,0,0,0,0,0,0,0,0,0,0
200603,A13006002,0,0,0,0,0,0,0,0,0,0
200604,A13006002,0,0,0,0,0,0,0,0,0,0
200605,A13006002,0,0,0,0,0,0,0,0,0,0
200606,A13006002,0,0,0,0,0,0,0,0,0,0
200607,A13006002,0,0,0,0,0,0,0,0,0,0
200608,A13006002,0,0,0,0,0,0,0,0,0,0
200609,A13006002,0,0,0,0,0,0,0,0,0,0
200610,A13006002,0,0,0,0,0,0,0,0,0,0
200611,A13006002,0,0,0,0,0,0,0,0,0,0
200612,A13006002,0,0,0,0,0,0,0,0,0,0
200701,A13006002,0,0,0,0,0,0,0,0,0,0
200702,A13006002,0,0,0,0,0,0,0,0,0,0
200703,A13006002,0,0,0,0,0,0,0,0,0,0
200704,A13006002,0,0,0,0,0,0,0,0,0,0
200705,A13006002,0,0,0,0,0,0,0,0,0,0
200706,A13006002,0,0,0,0,0,0,0,0,0,0
200707,A13006002,0,0,0,0,0,0,0,0,0,0
200708,A13006002,0,0,0,0,0,0,0,0,0,0
200709,A13006002,0,0,0,0,0,0,0,0,0,0
200710,A13006002,0,0,0,0,0,0,0,0,0,0
200711,A13006002,0,0,0,0,0,0,0,0,0,0
200712,A13006002,0,0,0,0,0,0,0,0,0,0
200801,A13006002,0,0,0,0,0,0,0,0,0,0
200802,A13006002,0,0,0,0,0,0,0,0,0,0
200803,A13006002,0,0,0,0,0,0,0,0,0,0
200804,A13006002,0,0,0,0,0,0,0,0,0,0
