requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200310,A13384303,0,0,0,0,0,0,0,0,0,0
200311,A13384303,0,0,0,0,0,0,0,0,0,0
200312,A13384303,0,0,0,0,0,0,0,0,0,0
200401,A13384303,0,0,0,0,0,0,0,0,0,0
200402,A13384303,0,0,0,0,0,0,0,0,0,0
200403,A13384303,0,0,0,0,0,0,0,0,0,0
200404,A13384303,0,0,0,0,0,0,0,0,0,0
200405,A13384303,0,0,0,0,0,0,0,0,0,0
200406,A13384303,0,0,0,0,0,0,0,0,0,0
200407,A13384303,0,0,0,0,0,0,0,0,0,0
200408,A13384303,0,0,0,0,0,0,0,0,0,0
200409,A13384303,0,0,0,0,0,0,0,0,0,0
200410,A13384303,0,0,0,0,0,0,0,0,0,0
200411,A13384303,0,0,0,0,0,0,0,0,0,0
200412,A13384303,0,0,0,0,0,0,0,0,0,0
200501,A13384303,0,0,0,0,0,0,0,0,0,0
200502,A13384303,0,0,0,0,0,0,0,0,0,0
200503,A13384303,0,0,0,0,0,0,0,0,0,0
200504,A13384303,0,0,0,0,0,0,0,0,0,0
200505,A13384303,0,0,0,0,0,0,0,0,0,0
200506,A13384303,0,0,0,0,0,0,0,0,0,0
200507,A13384303,0,0,0,0,0,0,0,0,0,0
200508,A13384303,0,0,0,0,0,0,0,0,0,0
200509,A13384303,0,0,0,0,0,0,0,0,0,0
200510,A13384303,0,0,0,0,0,0,0,0,0,0
200511,A13384303,0,0,0,0,0,0,0,0,0,0
200512,A13384303,0,0,0,0,0,0,0,0,0,0
200601,A13384303,0,0,0,0,0,0,0,0,0,0
200602,A13384303,0,0,0,0,0,0,0,0,0,0
200603,A13384303,0,0,0,0,0,0,0,0,0,0
200604,A13384303,0,0,0,0,0,0,0,0,0,0
200605,A13384303,0,0,0,0,0,0,0,0,0,0
200606,A13384303,0,0,0,0,0,0,0,0,0,0
200607,A13384303,0,0,0,0,0,0,0,0,0,0
200608,A13384303,0,0,0,0,0,0,0,0,0,0
200609,A13384303,0,0,0,0,0,0,0,0,0,0
200610,A13384303,0,0,0,0,0,0,0,0,0,0
200611,A13384303,0,0,0,0,0,0,0,0,0,0
200612,A13384303,0,0,0,0,0,0,0,0,0,0
200701,A13384303,0,0,0,0,0,0,0,0,0,0
200702,A13384303,0,0,0,0,0,0,0,0,0,0
200703,A13384303,0,0,0,0,0,0,0,0,0,0
200704,A13384303,0,0,0,0,0,0,0,0,0,0
200705,A13384303,0,0,0,0,0,0,0,0,0,0
200706,A13384303,0,0,0,0,0,0,0,0,0,0
200707,A13384303,0,0,0,0,0,0,0,0,0,0
200708,A13384303,0,0,0,0,0,0,0,0,0,0
200709,A13384303,0,0,0,0,0,0,0,0,0,0
200710,A13384303,0,0,0,0,0,0,0,0,0,0
200711,A13384303,0,0,0,0,0,0,0,0,0,0
200712,A13384303,0,0,0,0,0,0,0,0,0,0
200801,A13384303,0,0,0,0,0,0,0,0,0,0
200802,A13384303,0,0,0,0,0,0,0,0,0,0
200803,A13384303,0,0,0,0,0,0,0,0,0,0
200804,A13384303,0,0,0,0,0,0,0,0,0,0
200805,A13384303,0,0,0,0,0,0,0,0,0,0
200806,A13384303,0,0,0,0,0,0,0,0,0,0
200807,A13384303,0,0,0,0,0,0,0,0,0,0
200808,A13384303,0,0,0,0,0,0,0,0,0,0
200809,A13384303,0,0,0,0,0,0,0,0,0,0
200810,A13384303,0,0,0,0,0,0,0,0,0,0
200811,A13384303,0,0,0,0,0,0,0,0,0,0
200812,A13384303,0,0,0,0,0,0,0,0,0,0
200901,A13384303,0,0,0,0,0,0,0,0,0,0
200902,A13384303,0,0,0,0,0,0,0,0,0,0
200903,A13384303,0,0,0,0,0,0,0,0,0,0
200904,A13384303,0,0,0,0,0,0,0,0,0,0
200905,A13384303,0,0,0,0,0,0,0,0,0,0
200906,A13384303,0,0,0,0,0,0,0,0,0,0
200907,A13384303,0,0,0,0,0,0,0,0,0,0
200908,A13384303,0,0,0,0,0,0,0,0,0,0
200909,A13384303,0,0,0,0,0,0,0,0,0,0
200910,A13384303,0,0,0,0,0,0,0,0,0,0
200911,A13384303,0,0,0,0,0,0,0,0,0,0
200912,A13384303,0,0,0,0,0,0,0,0,0,0
201001,A13384303,0,0,0,0,0,0,0,0,0,0
201002,A13384303,0,0,0,0,0,0,0,0,0,0
201003,A13384303,0,0,0,0,0,0,0,0,0,0
201004,A13384303,0,0,0,0,0,0,0,0,0,0
201005,A13384303,0,0,0,0,0,0,0,0,0,0
201006,A13384303,0,0,0,0,0,0,0,0,0,0
