requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200209,A12283602,0,0,0,0,0,0,0,0,0,0
200210,A12283602,0,0,0,0,0,0,0,0,0,0
200211,A12283602,0,0,0,0,0,0,0,0,0,0
200212,A12283602,0,0,0,0,0,0,0,0,0,0
200301,A12283602,0,0,0,0,0,0,0,0,0,0
200302,A12283602,0,0,0,0,0,0,0,0,0,0
200303,A12283602,0,0,0,0,0,0,0,0,0,0
200304,A12283602,0,0,0,0,0,0,0,0,0,0
200305,A12283602,0,0,0,0,0,0,0,0,0,0
200306,A12283602,0,0,0,0,0,0,0,0,0,0
200307,A12283602,0,0,0,0,0,0,0,0,0,0
200308,A12283602,0,0,0,0,0,0,0,0,0,0
200309,A12283602,0,0,0,0,0,0,0,0,0,0
200310,A12283602,0,0,0,0,0,0,0,0,0,0
200311,A12283602,0,0,0,0,0,0,0,0,0,0
200312,A12283602,0,0,0,0,0,0,0,0,0,0
200401,A12283602,0,0,0,0,0,0,0,0,0,0
200402,A12283602,0,0,0,0,0,0,0,0,0,0
200403,A12283602,0,0,0,0,0,0,0,0,0,0
200404,A12283602,0,0,0,0,0,0,0,0,0,0
200405,A12283602,0,0,0,0,0,0,0,0,0,0
200406,A12283602,0,0,0,0,0,0,0,0,0,0
200407,A12283602,0,0,0,0,0,0,0,0,0,0
200408,A12283602,0,0,0,0,0,0,0,0,0,0
200409,A12283602,0,0,0,0,0,0,0,0,0,0
200410,A12283602,0,0,0,0,0,0,0,0,0,0
200411,A12283602,0,0,0,0,0,0,0,0,0,0
200412,A12283602,0,0,0,0,0,0,0,0,0,0
200501,A12283602,0,0,0,0,0,0,0,0,0,0
200502,A12283602,0,0,0,0,0,0,0,0,0,0
200503,A12283602,0,0,0,0,0,0,0,0,0,0
200504,A12283602,0,0,0,0,0,0,0,0,0,0
200505,A12283602,0,0,0,0,0,0,0,0,0,0
200506,A12283602,0,0,0,0,0,0,0,0,0,0
200507,A12283602,0,0,0,0,0,0,0,0,0,0
200508,A12283602,0,0,0,0,0,0,0,0,0,0
200509,A12283602,0,0,0,0,0,0,0,0,0,0
200510,A12283602,0,0,0,0,0,0,0,0,0,0
200511,A12283602,0,0,0,0,0,0,0,0,0,0
200512,A12283602,0,0,0,0,0,0,0,0,0,0
200601,A12283602,0,0,0,0,0,0,0,0,0,0
