requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
198810,A15807705,0,0,0,0,0,0,0,0,0,0
198811,A15807705,0,0,0,0,0,0,0,0,0,0
198812,A15807705,0,0,0,0,0,0,0,0,0,0
198901,A15807705,0,0,0,0,0,0,0,0,0,0
198902,A15807705,0,0,0,0,0,0,0,0,0,0
198903,A15807705,0,0,0,0,0,0,0,0,0,0
198904,A15807705,0,0,0,0,0,0,0,0,0,0
198905,A15807705,0,0,0,0,0,0,0,0,0,0
198906,A15807705,0,0,0,0,0,0,0,0,0,0
198907,A15807705,0,0,0,0,0,0,0,0,0,0
198908,A15807705,0,0,0,0,0,0,0,0,0,0
198909,A15807705,0,0,0,0,0,0,0,0,0,0
198910,A15807705,0,0,0,0,0,0,0,0,0,0
198911,A15807705,0,0,0,0,0,0,0,0,0,0
198912,A15807705,0,0,0,0,0,0,0,0,0,0
199001,A15807705,0,0,0,0,0,0,0,0,0,0
199002,A15807705,0,0,0,0,0,0,0,0,0,0
199003,A15807705,0,0,0,0,0,0,0,0,0,0
199004,A15807705,0,0,0,0,0,0,0,0,0,0
199005,A15807705,0,0,0,0,0,0,0,0,0,0
199006,A15807705,0,0,0,0,0,0,0,0,0,0
199007,A15807705,0,0,0,0,0,0,0,0,0,0
199008,A15807705,0,0,0,0,0,0,0,0,0,0
199009,A15807705,0,0,0,0,0,0,0,0,0,0
199010,A15807705,0,0,0,0,0,0,0,0,0,0
199011,A15807705,0,0,0,0,0,0,0,0,0,0
199012,A15807705,0,0,0,0,0,0,0,0,0,0
199101,A15807705,0,0,0,0,0,0,0,0,0,0
199102,A15807705,0,0,0,0,0,0,0,0,0,0
199103,A15807705,0,0,0,0,0,0,0,0,0,0
199104,A15807705,0,0,0,0,0,0,0,0,0,0
199105,A15807705,0,0,0,0,0,0,0,0,0,0
199106,A15807705,0,0,0,0,0,0,0,0,0,0
199107,A15807705,0,0,0,0,0,0,0,0,0,0
199108,A15807705,0,0,0,0,0,0,0,0,0,0
199109,A15807705,0,0,0,0,0,0,0,0,0,0
199110,A15807705,0,0,0,0,0,0,0,0,0,0
199111,A15807705,0,0,0,0,0,0,0,0,0,0
199112,A15807705,0,0,0,0,0,0,0,0,0,0
199201,A15807705,0,0,0,0,0,0,0,0,0,0
199202,A15807705,0,0,0,0,0,0,0,0,0,0
199203,A15807705,0,0,0,0,0,0,0,0,0,0
199204,A15807705,0,0,0,0,0,0,0,0,0,0
199205,A15807705,0,0,0,0,0,0,0,0,0,0
199206,A15807705,0,0,0,0,0,0,0,0,0,0
199207,A15807705,0,0,0,0,0,0,0,0,0,0
199208,A15807705,0,0,0,0,0,0,0,0,0,0
199209,A15807705,0,0,0,0,0,0,0,0,0,0
199210,A15807705,0,0,0,0,0,0,0,0,0,0
199211,A15807705,0,0,0,0,0,0,0,0,0,0
199212,A15807705,0,0,0,0,0,0,0,0,0,0
199301,A15807705,0,0,0,0,0,0,0,0,0,0
199302,A15807705,0,0,0,0,0,0,0,0,0,0
199303,A15807705,0,0,0,0,0,0,0,0,0,0
199304,A15807705,0,0,0,0,0,0,0,0,0,0
199305,A15807705,0,0,0,0,0,0,0,0,0,0
199306,A15807705,0,0,0,0,0,0,0,0,0,0
199307,A15807705,0,0,0,0,0,0,0,0,0,0
199308,A15807705,0,0,0,0,0,0,0,0,0,0
199309,A15807705,0,0,0,0,0,0,0,0,0,0
199310,A15807705,0,0,0,0,0,0,0,0,0,0
199311,A15807705,0,0,0,0,0,0,0,0,0,0
199312,A15807705,0,0,0,0,0,0,0,0,0,0
199401,A15807705,0,0,0,0,0,0,0,0,0,0
199402,A15807705,0,0,0,0,0,0,0,0,0,0
199403,A15807705,0,0,0,0,0,0,0,0,0,0
199404,A15807705,0,0,0,0,0,0,0,0,0,0
199405,A15807705,0,0,0,0,0,0,0,0,0,0
199406,A15807705,0,0,0,0,0,0,0,0,0,0
199407,A15807705,0,0,0,0,0,0,0,0,0,0
199408,A15807705,0,0,0,0,0,0,0,0,0,0
199409,A15807705,0,0,0,0,0,0,0,0,0,0
199410,A15807705,0,0,0,0,0,0,0,0,0,0
199411,A15807705,0,0,0,0,0,0,0,0,0,0
199412,A15807705,0,0,0,0,0,0,0,0,0,0
199501,A15807705,0,0,0,0,0,0,0,0,0,0
199502,A15807705,0,0,0,0,0,0,0,0,0,0
199503,A15807705,0,0,0,0,0,0,0,0,0,0
199504,A15807705,0,0,0,0,0,0,0,0,0,0
199505,A15807705,0,0,0,0,0,0,0,0,0,0
199506,A15807705,0,0,0,0,0,0,0,0,0,0
199507,A15807705,0,0,0,0,0,0,0,0,0,0
199508,A15807705,0,0,0,0,0,0,0,0,0,0
199509,A15807705,0,0,0,0,0,0,0,0,0,0
199510,A15807705,0,0,0,0,0,0,0,0,0,0
199511,A15807705,0,0,0,0,0,0,0,0,0,0
199512,A15807705,0,0,0,0,0,0,0,0,0,0
199601,A15807705,0,0,0,0,0,0,0,0,0,0
199602,A15807705,0,0,0,0,0,0,0,0,0,0
199603,A15807705,0,0,0,0,0,0,0,0,0,0
199604,A15807705,0,0,0,0,0,0,0,0,0,0
199605,A15807705,0,0,0,0,0,0,0,0,0,0
199606,A15807705,0,0,0,0,0,0,0,0,0,0
199607,A15807705,0,0,0,0,0,0,0,0,0,0
199608,A15807705,0,0,0,0,0,0,0,0,0,0
199609,A15807705,0,0,0,0,0,0,0,0,0,0
199610,A15807705,0,0,0,0,0,0,0,0,0,0
199611,A15807705,0,0,0,0,0,0,0,0,0,0
199612,A15807705,0,0,0,0,0,0,0,0,0,0
199701,A15807705,0,0,0,0,0,0,0,0,0,0
199702,A15807705,0,0,0,0,0,0,0,0,0,0
199703,A15807705,0,0,0,0,0,0,0,0,0,0
199704,A15807705,0,0,0,0,0,0,0,0,0,0
199705,A15807705,0,0,0,0,0,0,0,0,0,0
199706,A15807705,0,0,0,0,0,0,0,0,0,0
199707,A15807705,0,0,0,0,0,0,0,0,0,0
199708,A15807705,0,0,0,0,0,0,0,0,0,0
199709,A15807705,0,0,0,0,0,0,0,0,0,0
199710,A15807705,0,0,0,0,0,0,0,0,0,0
199711,A15807705,0,0,0,0,0,0,0,0,0,0
199712,A15807705,0,0,0,0,0,0,0,0,0,0
199801,A15807705,0,0,0,0,0,0,0,0,0,0
199802,A15807705,0,0,0,0,0,0,0,0,0,0
199803,A15807705,0,0,0,0,0,0,0,0,0,0
199804,A15807705,0,0,0,0,0,0,0,0,0,0
199805,A15807705,0,0,0,0,0,0,0,0,0,0
199806,A15807705,0,0,0,0,0,0,0,0,0,0
199807,A15807705,0,0,0,0,0,0,0,0,0,0
199808,A15807705,0,0,0,0,0,0,0,0,0,0
199809,A15807705,0,0,0,0,0,0,0,0,0,0
199810,A15807705,0,0,0,0,0,0,0,0,0,0
199811,A15807705,0,0,0,0,0,0,0,0,0,0
199812,A15807705,0,0,0,0,0,0,0,0,0,0
199901,A15807705,0,0,0,0,0,0,0,0,0,0
199902,A15807705,0,0,0,0,0,0,0,0,0,0
199903,A15807705,0,0,0,0,0,0,0,0,0,0
199904,A15807705,0,0,0,0,0,0,0,0,0,0
199905,A15807705,0,0,0,0,0,0,0,0,0,0
199906,A15807705,0,0,0,0,0,0,0,0,0,0
199907,A15807705,0,0,0,0,0,0,0,0,0,0
199908,A15807705,0,0,0,0,0,0,0,0,0,0
199909,A15807705,0,0,0,0,0,0,0,0,0,0
199910,A15807705,0,0,0,0,0,0,0,0,0,0
199911,A15807705,0,0,0,0,0,0,0,0,0,0
199912,A15807705,0,0,0,0,0,0,0,0,0,0
200001,A15807705,0,0,0,0,0,0,0,0,0,0
200002,A15807705,0,0,0,0,0,0,0,0,0,0
200003,A15807705,0,0,0,0,0,0,0,0,0,0
200004,A15807705,0,0,0,0,0,0,0,0,0,0
200005,A15807705,0,0,0,0,0,0,0,0,0,0
200006,A15807705,0,0,0,0,0,0,0,0,0,0
200007,A15807705,0,0,0,0,0,0,0,0,0,0
200008,A15807705,0,0,0,0,0,0,0,0,0,0
200009,A15807705,0,0,0,0,0,0,0,0,0,0
200010,A15807705,0,0,0,0,0,0,0,0,0,0
200011,A15807705,0,0,0,0,0,0,0,0,0,0
200012,A15807705,0,0,0,0,0,0,0,0,0,0
200101,A15807705,0,0,0,0,0,0,0,0,0,0
200102,A15807705,0,0,0,0,0,0,0,0,0,0
200103,A15807705,0,0,0,0,0,0,0,0,0,0
200104,A15807705,0,0,0,0,0,0,0,0,0,0
200105,A15807705,0,0,0,0,0,0,0,0,0,0
200106,A15807705,0,0,0,0,0,0,0,0,0,0
200107,A15807705,0,0,0,0,0,0,0,0,0,0
200108,A15807705,0,0,0,0,0,0,0,0,0,0
200109,A15807705,0,0,0,0,0,0,0,0,0,0
200110,A15807705,0,0,0,0,0,0,0,0,0,0
200111,A15807705,0,0,0,0,0,0,0,0,0,0
200112,A15807705,0,0,0,0,0,0,0,0,0,0
200201,A15807705,0,0,0,0,0,0,0,0,0,0
200202,A15807705,0,0,0,0,0,0,0,0,0,0
200203,A15807705,0,0,0,0,0,0,0,0,0,0
200204,A15807705,0,0,0,0,0,0,0,0,0,0
200205,A15807705,0,0,0,0,0,0,0,0,0,0
200206,A15807705,0,0,0,0,0,0,0,0,0,0
200207,A15807705,0,0,0,0,0,0,0,0,0,0
200208,A15807705,0,0,0,0,0,0,0,0,0,0
200209,A15807705,0,0,0,0,0,0,0,0,0,0
200210,A15807705,0,0,0,0,0,0,0,0,0,0
200211,A15807705,0,0,0,0,0,0,0,0,0,0
200212,A15807705,0,0,0,0,0,0,0,0,0,0
200301,A15807705,0,0,0,0,0,0,0,0,0,0
200302,A15807705,0,0,0,0,0,0,0,0,0,0
200303,A15807705,0,0,0,0,0,0,0,0,0,0
200304,A15807705,0,0,0,0,0,0,0,0,0,0
200305,A15807705,0,0,0,0,0,0,0,0,0,0
200306,A15807705,0,0,0,0,0,0,0,0,0,0
200307,A15807705,0,0,0,0,0,0,0,0,0,0
200308,A15807705,0,0,0,0,0,0,0,0,0,0
200309,A15807705,0,0,0,0,0,0,0,0,0,0
200310,A15807705,0,0,0,0,0,0,0,0,0,0
200311,A15807705,0,0,0,0,0,0,0,0,0,0
200312,A15807705,0,0,0,0,0,0,0,0,0,0
200401,A15807705,0,0,0,0,0,0,0,0,0,0
200402,A15807705,0,0,0,0,0,0,0,0,0,0
200403,A15807705,0,0,0,0,0,0,0,0,0,0
200404,A15807705,0,0,0,0,0,0,0,0,0,0
200405,A15807705,0,0,0,0,0,0,0,0,0,0
200406,A15807705,0,0,0,0,0,0,0,0,0,0
200407,A15807705,0,0,0,0,0,0,0,0,0,0
200408,A15807705,0,0,0,0,0,0,0,0,0,0
200409,A15807705,0,0,0,0,0,0,0,0,0,0
200410,A15807705,0,0,0,0,0,0,0,0,0,0
200411,A15807705,0,0,0,0,0,0,0,0,0,0
200412,A15807705,0,0,0,0,0,0,0,0,0,0
200501,A15807705,0,0,0,0,0,0,0,0,0,0
200502,A15807705,0,0,0,0,0,0,0,0,0,0
200503,A15807705,0,0,0,0,0,0,0,0,0,0
200504,A15807705,0,0,0,0,0,0,0,0,0,0
200505,A15807705,0,0,0,0,0,0,0,0,0,0
200506,A15807705,0,0,0,0,0,0,0,0,0,0
200507,A15807705,0,0,0,0,0,0,0,0,0,0
200508,A15807705,0,0,0,0,0,0,0,0,0,0
200509,A15807705,0,0,0,0,0,0,0,0,0,0
200510,A15807705,0,0,0,0,0,0,0,0,0,0
200511,A15807705,0,0,0,0,0,0,0,0,0,0
200512,A15807705,0,0,0,0,0,0,0,0,0,0
200601,A15807705,0,0,0,0,0,0,0,0,0,0
200602,A15807705,0,0,0,0,0,0,0,0,0,0
200603,A15807705,0,0,0,0,0,0,0,0,0,0
200604,A15807705,0,0,0,0,0,0,0,0,0,0
200605,A15807705,0,0,0,0,0,0,0,0,0,0
200606,A15807705,0,0,0,0,0,0,0,0,0,0
200607,A15807705,0,0,0,0,0,0,0,0,0,0
200608,A15807705,0,0,0,0,0,0,0,0,0,0
200609,A15807705,0,0,0,0,0,0,0,0,0,0
200610,A15807705,0,0,0,0,0,0,0,0,0,0
200611,A15807705,0,0,0,0,0,0,0,0,0,0
200612,A15807705,0,0,0,0,0,0,0,0,0,0
