requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199303,A13922111,0,0,0,0,0,0,0,0,0,0
199304,A13922111,0,0,0,0,0,0,0,0,0,0
199305,A13922111,0,0,0,0,0,0,0,0,0,0
199306,A13922111,0,0,0,0,0,0,0,0,0,0
199307,A13922111,0,0,0,0,0,0,0,0,0,0
199308,A13922111,0,0,0,0,0,0,0,0,0,0
199309,A13922111,0,0,0,0,0,0,0,0,0,0
199310,A13922111,0,0,0,0,0,0,0,0,0,0
199311,A13922111,0,0,0,0,0,0,0,0,0,0
199312,A13922111,0,0,0,0,0,0,0,0,0,0
199401,A13922111,0,0,0,0,0,0,0,0,0,0
199402,A13922111,0,0,0,0,0,0,0,0,0,0
199403,A13922111,0,0,0,0,0,0,0,0,0,0
199404,A13922111,0,0,0,0,0,0,0,0,0,0
199405,A13922111,0,0,0,0,0,0,0,0,0,0
199406,A13922111,0,0,0,0,0,0,0,0,0,0
199407,A13922111,0,0,0,0,0,0,0,0,0,0
199408,A13922111,0,0,0,0,0,0,0,0,0,0
199409,A13922111,0,0,0,0,0,0,0,0,0,0
199410,A13922111,0,0,0,0,0,0,0,0,0,0
199411,A13922111,0,0,0,0,0,0,0,0,0,0
199412,A13922111,0,0,0,0,0,0,0,0,0,0
199501,A13922111,0,0,0,0,0,0,0,0,0,0
199502,A13922111,0,0,0,0,0,0,0,0,0,0
199503,A13922111,0,0,0,0,0,0,0,0,0,0
199504,A13922111,0,0,0,0,0,0,0,0,0,0
199505,A13922111,0,0,0,0,0,0,0,0,0,0
199506,A13922111,0,0,0,0,0,0,0,0,0,0
199507,A13922111,0,0,0,0,0,0,0,0,0,0
199508,A13922111,0,0,0,0,0,0,0,0,0,0
199509,A13922111,0,0,0,0,0,0,0,0,0,0
199510,A13922111,0,0,0,0,0,0,0,0,0,0
199511,A13922111,0,0,0,0,0,0,0,0,0,0
199512,A13922111,0,0,0,0,0,0,0,0,0,0
199601,A13922111,0,0,0,0,0,0,0,0,0,0
199602,A13922111,0,0,0,0,0,0,0,0,0,0
199603,A13922111,0,0,0,0,0,0,0,0,0,0
199604,A13922111,0,0,0,0,0,0,0,0,0,0
199605,A13922111,0,0,0,0,0,0,0,0,0,0
199606,A13922111,0,0,0,0,0,0,0,0,0,0
199607,A13922111,0,0,0,0,0,0,0,0,0,0
199608,A13922111,0,0,0,0,0,0,0,0,0,0
199609,A13922111,0,0,0,0,0,0,0,0,0,0
199610,A13922111,0,0,0,0,0,0,0,0,0,0
199611,A13922111,0,0,0,0,0,0,0,0,0,0
