requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199105,A14206310,0,0,0,0,0,0,0,0,0,0
199106,A14206310,0,0,0,0,0,0,0,0,0,0
199107,A14206310,0,0,0,0,0,0,0,0,0,0
199108,A14206310,0,0,0,0,0,0,0,0,0,0
199109,A14206310,0,0,0,0,0,0,0,0,0,0
199110,A14206310,0,0,0,0,0,0,0,0,0,0
199111,A14206310,0,0,0,0,0,0,0,0,0,0
199112,A14206310,0,0,0,0,0,0,0,0,0,0
199201,A14206310,0,0,0,0,0,0,0,0,0,0
199202,A14206310,0,0,0,0,0,0,0,0,0,0
199203,A14206310,0,0,0,0,0,0,0,0,0,0
199204,A14206310,0,0,0,0,0,0,0,0,0,0
199205,A14206310,0,0,0,0,0,0,0,0,0,0
199206,A14206310,0,0,0,0,0,0,0,0,0,0
199207,A14206310,0,0,0,0,0,0,0,0,0,0
199208,A14206310,0,0,0,0,0,0,0,0,0,0
199209,A14206310,0,0,0,0,0,0,0,0,0,0
199210,A14206310,0,0,0,0,0,0,0,0,0,0
199211,A14206310,0,0,0,0,0,0,0,0,0,0
199212,A14206310,0,0,0,0,0,0,0,0,0,0
199301,A14206310,0,0,0,0,0,0,0,0,0,0
199302,A14206310,0,0,0,0,0,0,0,0,0,0
199303,A14206310,0,0,0,0,0,0,0,0,0,0
199304,A14206310,0,0,0,0,0,0,0,0,0,0
199305,A14206310,0,0,0,0,0,0,0,0,0,0
199306,A14206310,0,0,0,0,0,0,0,0,0,0
199307,A14206310,0,0,0,0,0,0,0,0,0,0
199308,A14206310,0,0,0,0,0,0,0,0,0,0
199309,A14206310,0,0,0,0,0,0,0,0,0,0
199310,A14206310,0,0,0,0,0,0,0,0,0,0
199311,A14206310,0,0,0,0,0,0,0,0,0,0
199312,A14206310,0,0,0,0,0,0,0,0,0,0
199401,A14206310,0,0,0,0,0,0,0,0,0,0
199402,A14206310,0,0,0,0,0,0,0,0,0,0
199403,A14206310,0,0,0,0,0,0,0,0,0,0
199404,A14206310,0,0,0,0,0,0,0,0,0,0
199405,A14206310,0,0,0,0,0,0,0,0,0,0
199406,A14206310,0,0,0,0,0,0,0,0,0,0
199407,A14206310,0,0,0,0,0,0,0,0,0,0
199408,A14206310,0,0,0,0,0,0,0,0,0,0
199409,A14206310,0,0,0,0,0,0,0,0,0,0
199410,A14206310,0,0,0,0,0,0,0,0,0,0
199411,A14206310,0,0,0,0,0,0,0,0,0,0
199412,A14206310,0,0,0,0,0,0,0,0,0,0
199501,A14206310,0,0,0,0,0,0,0,0,0,0
199502,A14206310,0,0,0,0,0,0,0,0,0,0
199503,A14206310,0,0,0,0,0,0,0,0,0,0
199504,A14206310,0,0,0,0,0,0,0,0,0,0
199505,A14206310,0,0,0,0,0,0,0,0,0,0
199506,A14206310,0,0,0,0,0,0,0,0,0,0
199507,A14206310,0,0,0,0,0,0,0,0,0,0
199508,A14206310,0,0,0,0,0,0,0,0,0,0
199509,A14206310,0,0,0,0,0,0,0,0,0,0
199510,A14206310,0,0,0,0,0,0,0,0,0,0
199511,A14206310,0,0,0,0,0,0,0,0,0,0
199512,A14206310,0,0,0,0,0,0,0,0,0,0
199601,A14206310,0,0,0,0,0,0,0,0,0,0
199602,A14206310,0,0,0,0,0,0,0,0,0,0
199603,A14206310,0,0,0,0,0,0,0,0,0,0
199604,A14206310,0,0,0,0,0,0,0,0,0,0
199605,A14206310,0,0,0,0,0,0,0,0,0,0
199606,A14206310,0,0,0,0,0,0,0,0,0,0
199607,A14206310,0,0,0,0,0,0,0,0,0,0
199608,A14206310,0,0,0,0,0,0,0,0,0,0
199609,A14206310,0,0,0,0,0,0,0,0,0,0
199610,A14206310,0,0,0,0,0,0,0,0,0,0
199611,A14206310,0,0,0,0,0,0,0,0,0,0
199612,A14206310,0,0,0,0,0,0,0,0,0,0
199701,A14206310,0,0,0,0,0,0,0,0,0,0
199702,A14206310,0,0,0,0,0,0,0,0,0,0
199703,A14206310,0,0,0,0,0,0,0,0,0,0
199704,A14206310,0,0,0,0,0,0,0,0,0,0
199705,A14206310,0,0,0,0,0,0,0,0,0,0
199706,A14206310,0,0,0,0,0,0,0,0,0,0
199707,A14206310,0,0,0,0,0,0,0,0,0,0
199708,A14206310,0,0,0,0,0,0,0,0,0,0
199709,A14206310,0,0,0,0,0,0,0,0,0,0
199710,A14206310,0,0,0,0,0,0,0,0,0,0
199711,A14206310,0,0,0,0,0,0,0,0,0,0
199712,A14206310,0,0,0,0,0,0,0,0,0,0
199801,A14206310,0,0,0,0,0,0,0,0,0,0
199802,A14206310,0,0,0,0,0,0,0,0,0,0
199803,A14206310,0,0,0,0,0,0,0,0,0,0
199804,A14206310,0,0,0,0,0,0,0,0,0,0
199805,A14206310,0,0,0,0,0,0,0,0,0,0
199806,A14206310,0,0,0,0,0,0,0,0,0,0
199807,A14206310,0,0,0,0,0,0,0,0,0,0
199808,A14206310,0,0,0,0,0,0,0,0,0,0
199809,A14206310,0,0,0,0,0,0,0,0,0,0
199810,A14206310,0,0,0,0,0,0,0,0,0,0
199811,A14206310,0,0,0,0,0,0,0,0,0,0
199812,A14206310,0,0,0,0,0,0,0,0,0,0
199901,A14206310,0,0,0,0,0,0,0,0,0,0
199902,A14206310,0,0,0,0,0,0,0,0,0,0
199903,A14206310,0,0,0,0,0,0,0,0,0,0
199904,A14206310,0,0,0,0,0,0,0,0,0,0
199905,A14206310,0,0,0,0,0,0,0,0,0,0
199906,A14206310,0,0,0,0,0,0,0,0,0,0
199907,A14206310,0,0,0,0,0,0,0,0,0,0
199908,A14206310,0,0,0,0,0,0,0,0,0,0
199909,A14206310,0,0,0,0,0,0,0,0,0,0
199910,A14206310,0,0,0,0,0,0,0,0,0,0
199911,A14206310,0,0,0,0,0,0,0,0,0,0
199912,A14206310,0,0,0,0,0,0,0,0,0,0
200001,A14206310,0,0,0,0,0,0,0,0,0,0
200002,A14206310,0,0,0,0,0,0,0,0,0,0
200003,A14206310,0,0,0,0,0,0,0,0,0,0
200004,A14206310,0,0,0,0,0,0,0,0,0,0
200005,A14206310,0,0,0,0,0,0,0,0,0,0
200006,A14206310,0,0,0,0,0,0,0,0,0,0
200007,A14206310,0,0,0,0,0,0,0,0,0,0
200008,A14206310,0,0,0,0,0,0,0,0,0,0
200009,A14206310,0,0,0,0,0,0,0,0,0,0
200010,A14206310,0,0,0,0,0,0,0,0,0,0
200011,A14206310,0,0,0,0,0,0,0,0,0,0
200012,A14206310,0,0,0,0,0,0,0,0,0,0
200101,A14206310,0,0,0,0,0,0,0,0,0,0
200102,A14206310,0,0,0,0,0,0,0,0,0,0
200103,A14206310,0,0,0,0,0,0,0,0,0,0
200104,A14206310,0,0,0,0,0,0,0,0,0,0
200105,A14206310,0,0,0,0,0,0,0,0,0,0
200106,A14206310,0,0,0,0,0,0,0,0,0,0
200107,A14206310,0,0,0,0,0,0,0,0,0,0
200108,A14206310,0,0,0,0,0,0,0,0,0,0
200109,A14206310,0,0,0,0,0,0,0,0,0,0
200110,A14206310,0,0,0,0,0,0,0,0,0,0
200111,A14206310,0,0,0,0,0,0,0,0,0,0
200112,A14206310,0,0,0,0,0,0,0,0,0,0
200201,A14206310,0,0,0,0,0,0,0,0,0,0
200202,A14206310,0,0,0,0,0,0,0,0,0,0
200203,A14206310,0,0,0,0,0,0,0,0,0,0
200204,A14206310,0,0,0,0,0,0,0,0,0,0
200205,A14206310,0,0,0,0,0,0,0,0,0,0
200206,A14206310,0,0,0,0,0,0,0,0,0,0
200207,A14206310,0,0,0,0,0,0,0,0,0,0
200208,A14206310,0,0,0,0,0,0,0,0,0,0
200209,A14206310,0,0,0,0,0,0,0,0,0,0
200210,A14206310,0,0,0,0,0,0,0,0,0,0
200211,A14206310,0,0,0,0,0,0,0,0,0,0
200212,A14206310,0,0,0,0,0,0,0,0,0,0
200301,A14206310,0,0,0,0,0,0,0,0,0,0
200302,A14206310,0,0,0,0,0,0,0,0,0,0
200303,A14206310,0,0,0,0,0,0,0,0,0,0
200304,A14206310,0,0,0,0,0,0,0,0,0,0
200305,A14206310,0,0,0,0,0,0,0,0,0,0
200306,A14206310,0,0,0,0,0,0,0,0,0,0
200307,A14206310,0,0,0,0,0,0,0,0,0,0
200308,A14206310,0,0,0,0,0,0,0,0,0,0
200309,A14206310,0,0,0,0,0,0,0,0,0,0
200310,A14206310,0,0,0,0,0,0,0,0,0,0
200311,A14206310,0,0,0,0,0,0,0,0,0,0
200312,A14206310,0,0,0,0,0,0,0,0,0,0
200401,A14206310,0,0,0,0,0,0,0,0,0,0
200402,A14206310,0,0,0,0,0,0,0,0,0,0
200403,A14206310,0,0,0,0,0,0,0,0,0,0
200404,A14206310,0,0,0,0,0,0,0,0,0,0
200405,A14206310,0,0,0,0,0,0,0,0,0,0
200406,A14206310,0,0,0,0,0,0,0,0,0,0
200407,A14206310,0,0,0,0,0,0,0,0,0,0
200408,A14206310,0,0,0,0,0,0,0,0,0,0
200409,A14206310,0,0,0,0,0,0,0,0,0,0
200410,A14206310,0,0,0,0,0,0,0,0,0,0
200411,A14206310,0,0,0,0,0,0,0,0,0,0
200412,A14206310,0,0,0,0,0,0,0,0,0,0
200501,A14206310,0,0,0,0,0,0,0,0,0,0
200502,A14206310,0,0,0,0,0,0,0,0,0,0
200503,A14206310,0,0,0,0,0,0,0,0,0,0
200504,A14206310,0,0,0,0,0,0,0,0,0,0
200505,A14206310,0,0,0,0,0,0,0,0,0,0
200506,A14206310,0,0,0,0,0,0,0,0,0,0
200507,A14206310,0,0,0,0,0,0,0,0,0,0
200508,A14206310,0,0,0,0,0,0,0,0,0,0
200509,A14206310,0,0,0,0,0,0,0,0,0,0
200510,A14206310,0,0,0,0,0,0,0,0,0,0
200511,A14206310,0,0,0,0,0,0,0,0,0,0
200512,A14206310,0,0,0,0,0,0,0,0,0,0
200601,A14206310,0,0,0,0,0,0,0,0,0,0
200602,A14206310,0,0,0,0,0,0,0,0,0,0
200603,A14206310,0,0,0,0,0,0,0,0,0,0
200604,A14206310,0,0,0,0,0,0,0,0,0,0
200605,A14206310,0,0,0,0,0,0,0,0,0,0
200606,A14206310,0,0,0,0,0,0,0,0,0,0
200607,A14206310,0,0,0,0,0,0,0,0,0,0
200608,A14206310,0,0,0,0,0,0,0,0,0,0
200609,A14206310,0,0,0,0,0,0,0,0,0,0
200610,A14206310,0,0,0,0,0,0,0,0,0,0
200611,A14206310,0,0,0,0,0,0,0,0,0,0
200612,A14206310,0,0,0,0,0,0,0,0,0,0
200701,A14206310,0,0,0,0,0,0,0,0,0,0
200702,A14206310,0,0,0,0,0,0,0,0,0,0
200703,A14206310,0,0,0,0,0,0,0,0,0,0
200704,A14206310,0,0,0,0,0,0,0,0,0,0
200705,A14206310,0,0,0,0,0,0,0,0,0,0
200706,A14206310,0,0,0,0,0,0,0,0,0,0
200707,A14206310,0,0,0,0,0,0,0,0,0,0
200708,A14206310,0,0,0,0,0,0,0,0,0,0
200709,A14206310,0,0,0,0,0,0,0,0,0,0
200710,A14206310,0,0,0,0,0,0,0,0,0,0
200711,A14206310,0,0,0,0,0,0,0,0,0,0
200712,A14206310,0,0,0,0,0,0,0,0,0,0
200801,A14206310,0,0,0,0,0,0,0,0,0,0
200802,A14206310,0,0,0,0,0,0,0,0,0,0
200803,A14206310,0,0,0,0,0,0,0,0,0,0
200804,A14206310,0,0,0,0,0,0,0,0,0,0
200805,A14206310,0,0,0,0,0,0,0,0,0,0
200806,A14206310,0,0,0,0,0,0,0,0,0,0
200807,A14206310,0,0,0,0,0,0,0,0,0,0
200808,A14206310,0,0,0,0,0,0,0,0,0,0
200809,A14206310,0,0,0,0,0,0,0,0,0,0
200810,A14206310,0,0,0,0,0,0,0,0,0,0
200811,A14206310,0,0,0,0,0,0,0,0,0,0
200812,A14206310,0,0,0,0,0,0,0,0,0,0
200901,A14206310,0,0,0,0,0,0,0,0,0,0
200902,A14206310,0,0,0,0,0,0,0,0,0,0
200903,A14206310,0,0,0,0,0,0,0,0,0,0
200904,A14206310,0,0,0,0,0,0,0,0,0,0
200905,A14206310,0,0,0,0,0,0,0,0,0,0
200906,A14206310,0,0,0,0,0,0,0,0,0,0
200907,A14206310,0,0,0,0,0,0,0,0,0,0
200908,A14206310,0,0,0,0,0,0,0,0,0,0
200909,A14206310,0,0,0,0,0,0,0,0,0,0
200910,A14206310,0,0,0,0,0,0,0,0,0,0
200911,A14206310,0,0,0,0,0,0,0,0,0,0
200912,A14206310,0,0,0,0,0,0,0,0,0,0
201001,A14206310,0,0,0,0,0,0,0,0,0,0
201002,A14206310,0,0,0,0,0,0,0,0,0,0
201003,A14206310,0,0,0,0,0,0,0,0,0,0
201004,A14206310,0,0,0,0,0,0,0,0,0,0
201005,A14206310,0,0,0,0,0,0,0,0,0,0
201006,A14206310,0,0,0,0,0,0,0,0,0,0
201007,A14206310,0,0,0,0,0,0,0,0,0,0
201008,A14206310,0,0,0,0,0,0,0,0,0,0
201009,A14206310,0,0,0,0,0,0,42476080,0,0,0
201010,A14206310,0,0,0,0,0,0,36195970,0,0,0
201011,A14206310,0,0,0,0,0,0,35653620,0,0,0
201012,A14206310,0,0,0,0,0,0,39777680,0,0,0
201101,A14206310,0,0,0,0,0,0,46501805,0,0,0
201102,A14206310,0,0,0,0,0,0,49440600,0,0,0
201103,A14206310,0,0,0,0,0,0,39076905,0,0,0
201104,A14206310,0,0,0,0,0,0,43060240,0,0,0
201105,A14206310,0,0,0,0,0,0,40969667,0,0,0
201106,A14206310,0,0,0,0,0,0,43478656,0,0,0
201107,A14206310,0,0,0,0,0,0,44737060,0,0,0
201108,A14206310,0,0,0,0,0,0,51250030,0,0,0
201109,A14206310,0,0,0,0,0,0,47624130,0,0,0
201110,A14206310,0,0,0,0,0,0,35419250,0,0,0
201111,A14206310,0,0,0,0,0,0,38477414,0,0,0
201112,A14206310,0,0,0,0,0,0,36357556,0,0,0
201201,A14206310,0,0,0,0,0,0,48729932,0,0,0
201202,A14206310,0,0,0,0,0,0,49462144,0,0,0
201203,A14206310,0,0,0,0,0,0,39422566,0,0,0
201204,A14206310,0,0,0,0,0,0,42798678,0,0,0
201205,A14206310,0,0,0,0,0,0,38391431,0,0,0
201206,A14206310,0,0,0,0,0,0,0,0,0,0
201207,A14206310,0,0,0,0,0,0,37153246,0,0,0
201208,A14206310,0,0,0,0,0,0,61722030,0,0,0
201209,A14206310,0,0,0,0,0,0,37434676,0,0,0
201210,A14206310,0,0,0,0,0,0,0,0,0,0
201211,A14206310,0,0,0,0,0,0,35706780,0,0,0
201212,A14206310,0,0,0,0,0,0,34241570,0,0,0
201301,A14206310,0,0,0,0,0,0,49061476,0,0,0
201302,A14206310,0,0,0,0,0,0,48242305,0,0,0
201303,A14206310,0,0,0,0,0,0,37193516,0,0,0
201304,A14206310,0,0,0,0,0,0,42681273,0,0,0
201305,A14206310,0,0,0,0,0,0,38511840,0,0,0
201306,A14206310,0,0,0,0,0,0,35123620,0,0,0
201307,A14206310,5353392,0,12873600,0,0,0,45241350,0,0,0
201308,A14206310,6177,0,11226600,0,0,0,57818420,0,0,0
201309,A14206310,5910474,0,12810000,0,0,0,46549330,0,0,0
201310,A14206310,36775023,0,15835800,0,0,0,28004010,0,0,0
