requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200210,A13202103,0,0,0,0,0,0,0,0,0,0
200211,A13202103,0,0,0,0,0,0,0,0,0,0
200212,A13202103,0,0,0,0,0,0,0,0,0,0
200301,A13202103,0,0,0,0,0,0,0,0,0,0
200302,A13202103,0,0,0,0,0,0,0,0,0,0
200303,A13202103,0,0,0,0,0,0,0,0,0,0
200304,A13202103,0,0,0,0,0,0,0,0,0,0
200305,A13202103,0,0,0,0,0,0,0,0,0,0
200306,A13202103,0,0,0,0,0,0,0,0,0,0
200307,A13202103,0,0,0,0,0,0,0,0,0,0
200308,A13202103,0,0,0,0,0,0,0,0,0,0
200309,A13202103,0,0,0,0,0,0,0,0,0,0
200310,A13202103,0,0,0,0,0,0,0,0,0,0
200311,A13202103,0,0,0,0,0,0,0,0,0,0
200312,A13202103,0,0,0,0,0,0,0,0,0,0
200401,A13202103,0,0,0,0,0,0,0,0,0,0
200402,A13202103,0,0,0,0,0,0,0,0,0,0
200403,A13202103,0,0,0,0,0,0,0,0,0,0
200404,A13202103,0,0,0,0,0,0,0,0,0,0
200405,A13202103,0,0,0,0,0,0,0,0,0,0
200406,A13202103,0,0,0,0,0,0,0,0,0,0
200407,A13202103,0,0,0,0,0,0,0,0,0,0
200408,A13202103,0,0,0,0,0,0,0,0,0,0
200409,A13202103,0,0,0,0,0,0,0,0,0,0
200410,A13202103,0,0,0,0,0,0,0,0,0,0
200411,A13202103,0,0,0,0,0,0,0,0,0,0
200412,A13202103,0,0,0,0,0,0,0,0,0,0
200501,A13202103,0,0,0,0,0,0,0,0,0,0
200502,A13202103,0,0,0,0,0,0,0,0,0,0
200503,A13202103,0,0,0,0,0,0,0,0,0,0
200504,A13202103,0,0,0,0,0,0,0,0,0,0
200505,A13202103,0,0,0,0,0,0,0,0,0,0
200506,A13202103,0,0,0,0,0,0,0,0,0,0
200507,A13202103,0,0,0,0,0,0,0,0,0,0
200508,A13202103,0,0,0,0,0,0,0,0,0,0
200509,A13202103,0,0,0,0,0,0,0,0,0,0
200510,A13202103,0,0,0,0,0,0,0,0,0,0
200511,A13202103,0,0,0,0,0,0,0,0,0,0
200512,A13202103,0,0,0,0,0,0,0,0,0,0
200601,A13202103,0,0,0,0,0,0,0,0,0,0
200602,A13202103,0,0,0,0,0,0,0,0,0,0
